City,"Meal Inexpensive Restaurant","Meal for 2 People Mid-range Restaurant Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (1 pint draught),Imported Beer (12 oz small bottle),Cappuccino (regular),Coke/Pepsi (12 oz small bottle),Water (12 oz small bottle),Markets,"Milk (regular) (1 gallon)",Loaf of Fresh White Bread (1 lb),"Rice (white) (1 lb)",Eggs (regular) (12),Local Cheese (1 lb),Chicken Fillets (1 lb),Beef Round (1 lb) (or Equivalent Back Leg Red Meat),Apples (1 lb),Banana (1 lb),Oranges (1 lb),Tomato (1 lb),Potato (1 lb),Onion (1 lb),Lettuce (1 head),Water (1.5 liter bottle),Bottle of Wine (Mid-Range),Domestic Beer (0.5 liter bottle),Imported Beer (12 oz small bottle),Cigarettes 20 Pack (Marlboro),Transportation,One-way Ticket (Local Transport),Monthly Pass (Regular Price),Taxi Start (Normal Tariff),Taxi 1 mile (Normal Tariff),Taxi 1hour Waiting (Normal Tariff),Gasoline (1 gallon),Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),Utilities (Monthly),"Basic (Electricity Heating Cooling Water Garbage) for 915 sq ft Apartment",1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",Sports And Leisure,"Fitness Club Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema International Release 1 Seat",Childcare,"Preschool (or Kindergarten) Full Day Private Monthly for 1 Child","International Primary School Yearly for 1 Child",Clothing And Shoes 1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara H&M ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Rent Per Month,Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Buy Apartment Price,Price per Square Feet to Buy Apartment in City Centre,Price per Square Feet to Buy Apartment Outside of Centre,Salaries And Financing,Average Monthly Net Salary (After Tax),"Mortgage Interest Rate in Percentages (%) Yearly for 20 Years Fixed-Rate",Country
Quetta,1.08 €,14.86 €,4.32 €,0.81 €,1.35 €,0.51 €,0.30 €,0.25 €,Edit,2.39 €,0.32 €,0.43 €,0.88 €,1.59 €,0.78 €,1.52 €,0.31 €,0.19 €,0.24 €,0.28 €,0.12 €,0.14 €,0.11 €,0.31 €,2.97 €,?,?,0.97 €,Edit,0.09 €,2.43 €,0.54 €,0.43 €,0.81 €,2.30 €,?,"12,432.14 €",Edit,47.91 €,0.01 €,13.51 €,Edit,5.41 €,5.41 €,3.51 €,Edit,22.52 €,389.18 €,Edit,12.07 €,19.82 €,32.43 €,18.92 €,Edit,66.21 €,64.86 €,129.73 €,125.67 €,Edit,108.10 €,16.22 €,Edit,183.78 €,?,Pakistan
Amritsar,1.35 €,10.67 €,3.37 €,1.68 €,4.49 €,1.31 €,0.28 €,0.20 €,Edit,1.87 €,0.32 €,0.36 €,0.71 €,1.44 €,0.81 €,2.55 €,0.45 €,0.25 €,0.22 €,0.20 €,0.15 €,0.14 €,0.49 €,0.28 €,11.23 €,1.80 €,2.90 €,3.37 €,Edit,0.20 €,5.61 €,0.56 €,0.41 €,0.67 €,3.41 €,"8,982.46 €","18,094.85 €",Edit,54.50 €,0.01 €,9.16 €,Edit,16.07 €,5.61 €,2.81 €,Edit,38.60 €,700.63 €,Edit,31.81 €,37.43 €,44.91 €,29.75 €,Edit,78.60 €,60.82 €,224.56 €,165.61 €,Edit,176.48 €,37.78 €,Edit,306.90 €,9.50,India
Tegucigalpa,3.33 €,20.80 €,4.82 €,0.83 €,1.66 €,1.29 €,0.70 €,0.63 €,Edit,3.20 €,1.17 €,0.44 €,1.47 €,1.27 €,1.30 €,2.11 €,1.18 €,0.61 €,0.78 €,0.70 €,0.81 €,0.69 €,1.06 €,0.80 €,6.00 €,1.16 €,1.81 €,1.85 €,Edit,0.42 €,23.98 €,2.66 €,3.65 €,4.16 €,3.24 €,"16,835.57 €","17,779.21 €",Edit,63.38 €,0.11 €,57.45 €,Edit,32.46 €,12.15 €,4.00 €,Edit,167.32 €,"4,288.66 €",Edit,38.47 €,39.61 €,72.78 €,79.06 €,Edit,307.86 €,230.98 €,661.46 €,458.80 €,Edit,83.33 €,71.09 €,Edit,429.41 €,11.21,Honduras
Tripoli,9.72 €,33.28 €,5.95 €,2.28 €,1.76 €,1.11 €,0.93 €,0.30 €,Edit,7.99 €,0.31 €,0.87 €,2.92 €,5.89 €,3.88 €,6.82 €,1.38 €,0.95 €,0.81 €,0.61 €,0.55 €,0.53 €,0.96 €,0.69 €,4.28 €,1.76 €,2.38 €,4.74 €,Edit,0.76 €,20.80 €,2.95 €,0.95 €,10.56 €,0.44 €,"14,928.94 €","17,029.16 €",Edit,37.08 €,0.06 €,45.63 €,Edit,52.17 €,29.36 €,8.83 €,Edit,91.11 €,"2,946.35 €",Edit,69.98 €,58.50 €,91.41 €,122.47 €,Edit,427.20 €,264.69 €,850.03 €,475.47 €,Edit,193.81 €,71.53 €,Edit,571.00 €,15.00,Libya
Tbilisi,4.81 €,15.63 €,3.61 €,0.72 €,1.20 €,1.29 €,0.42 €,0.19 €,Edit,3.30 €,0.25 €,0.40 €,1.07 €,1.66 €,1.32 €,2.44 €,0.34 €,0.44 €,0.39 €,0.38 €,0.16 €,0.16 €,0.52 €,0.28 €,3.61 €,0.70 €,1.03 €,1.66 €,Edit,0.12 €,7.77 €,0.72 €,0.39 €,2.40 €,2.25 €,"9,437.58 €","10,842.17 €",Edit,49.11 €,0.06 €,11.54 €,Edit,26.06 €,8.22 €,3.61 €,Edit,96.68 €,"2,372.78 €",Edit,44.18 €,28.49 €,66.32 €,89.88 €,Edit,252.24 €,154.28 €,550.98 €,353.75 €,Edit,94.28 €,54.91 €,Edit,268.84 €,11.22,Georgia
Ufa,5.52 €,25.61 €,3.70 €,0.66 €,4.42 €,1.20 €,0.49 €,0.23 €,Edit,2.44 €,0.37 €,0.38 €,0.85 €,2.42 €,1.04 €,1.98 €,0.48 €,0.33 €,0.48 €,0.67 €,0.16 €,0.16 €,0.66 €,0.33 €,4.42 €,0.64 €,1.15 €,1.88 €,Edit,0.31 €,15.47 €,0.88 €,0.18 €,2.65 €,1.87 €,"16,574.60 €","16,337.03 €",Edit,88.03 €,0.02 €,4.66 €,Edit,22.04 €,12.67 €,2.76 €,Edit,162.74 €,"2,127.07 €",Edit,46.51 €,29.57 €,54.68 €,61.11 €,Edit,236.88 €,170.58 €,459.71 €,316.90 €,Edit,95.02 €,69.74 €,Edit,343.29 €,9.42,Russia
Mexicali,6.17 €,20.55 €,4.11 €,1.23 €,2.06 €,1.95 €,0.62 €,0.47 €,Edit,3.11 €,1.03 €,0.36 €,1.31 €,1.52 €,1.54 €,2.11 €,0.66 €,0.43 €,0.34 €,0.34 €,0.27 €,0.23 €,0.67 €,0.62 €,6.17 €,1.23 €,1.76 €,2.53 €,Edit,0.64 €,20.55 €,1.85 €,1.28 €,8.22 €,2.91 €,"11,509.62 €","13,544.35 €",Edit,38.49 €,0.10 €,19.29 €,Edit,19.27 €,10.28 €,2.84 €,Edit,110.30 €,"2,160.11 €",Edit,26.97 €,22.78 €,45.73 €,50.70 €,Edit,253.49 €,161.85 €,488.13 €,292.88 €,Edit,76.68 €,33.49 €,Edit,353.70 €,12.25,Mexico
Salt-Lake-City,9.98 €,49.92 €,6.24 €,4.16 €,5.41 €,3.85 €,1.50 €,1.29 €,Edit,2.18 €,1.96 €,1.19 €,1.81 €,3.71 €,2.94 €,4.49 €,1.35 €,0.51 €,0.93 €,1.20 €,0.67 €,0.80 €,1.19 €,1.82 €,9.98 €,1.54 €,2.03 €,6.66 €,Edit,2.08 €,69.88 €,2.37 €,2.43 €,31.20 €,2.09 €,"17,634.01 €","19,624.35 €",Edit,109.37 €,0.15 €,51.18 €,Edit,26.09 €,6.10 €,9.98 €,Edit,685.17 €,"12,035.54 €",Edit,33.91 €,29.67 €,61.46 €,76.36 €,Edit,"1,077.00 €",827.56 €,"1,707.69 €","1,287.54 €",Edit,532.18 €,218.88 €,Edit,"3,408.59 €",3.53,United States
Copenhagen,17.82 €,87.41 €,10.76 €,6.72 €,5.41 €,5.20 €,3.27 €,2.59 €,Edit,5.03 €,2.48 €,0.96 €,3.59 €,5.90 €,3.83 €,6.02 €,1.17 €,1.20 €,1.22 €,1.92 €,0.86 €,0.66 €,1.56 €,1.16 €,8.07 €,1.60 €,2.17 €,7.40 €,Edit,3.23 €,80.69 €,6.59 €,3.02 €,53.82 €,5.43 €,"35,092.21 €","33,405.65 €",Edit,177.53 €,0.15 €,34.50 €,Edit,38.75 €,30.15 €,16.14 €,Edit,421.79 €,"11,956.43 €",Edit,104.98 €,42.94 €,111.43 €,163.14 €,Edit,"1,428.89 €","1,101.46 €","2,433.39 €","1,912.54 €",Edit,623.13 €,426.39 €,Edit,"3,146.36 €",1.41,Denmark
Cologne,9.50 €,60.00 €,7.14 €,4.00 €,3.50 €,2.78 €,2.63 €,2.14 €,Edit,3.46 €,1.33 €,0.92 €,2.38 €,3.94 €,3.18 €,4.87 €,1.24 €,0.85 €,0.95 €,1.23 €,0.58 €,0.56 €,1.18 €,0.55 €,5.00 €,0.69 €,1.54 €,7.00 €,Edit,3.00 €,99.25 €,3.50 €,3.22 €,30.00 €,5.44 €,"19,000.00 €","22,399.80 €",Edit,262.89 €,0.12 €,30.59 €,Edit,30.41 €,23.50 €,11.00 €,Edit,525.71 €,"11,933.33 €",Edit,92.33 €,27.62 €,81.18 €,121.67 €,Edit,819.20 €,607.86 €,"1,590.62 €","1,087.50 €",Edit,530.87 €,369.29 €,Edit,"2,402.35 €",2.76,Germany
Krasnoyarsk,4.14 €,20.99 €,2.49 €,0.88 €,2.21 €,1.26 €,0.61 €,0.26 €,Edit,2.47 €,0.37 €,0.36 €,0.88 €,2.72 €,1.34 €,2.14 €,0.57 €,0.42 €,0.54 €,0.68 €,0.17 €,0.18 €,0.66 €,0.41 €,5.52 €,0.68 €,1.16 €,1.66 €,Edit,0.29 €,11.05 €,1.25 €,0.28 €,2.76 €,1.83 €,"13,259.68 €","13,439.24 €",Edit,65.86 €,0.02 €,4.51 €,Edit,23.83 €,10.83 €,2.87 €,Edit,137.17 €,"3,149.17 €",Edit,58.69 €,37.84 €,73.16 €,59.63 €,Edit,221.18 €,147.21 €,496.25 €,282.32 €,Edit,71.41 €,52.66 €,Edit,403.35 €,10.20,Russia
Nashville,12.06 €,54.08 €,6.66 €,4.16 €,5.82 €,3.90 €,1.75 €,1.37 €,Edit,2.72 €,2.05 €,1.16 €,1.56 €,4.74 €,3.06 €,5.02 €,2.02 €,0.53 €,1.63 €,1.47 €,0.87 €,1.02 €,1.52 €,1.49 €,12.48 €,1.73 €,2.15 €,5.03 €,Edit,1.66 €,54.08 €,2.50 €,1.66 €,14.98 €,1.89 €,"19,486.35 €","17,684.87 €",Edit,132.10 €,0.15 €,58.48 €,Edit,36.53 €,12.48 €,10.82 €,Edit,893.51 €,"19,134.85 €",Edit,43.95 €,31.77 €,65.09 €,78.66 €,Edit,"1,373.70 €",962.07 €,"2,361.81 €","1,484.64 €",Edit,296.73 €,123.06 €,Edit,"3,200.67 €",3.78,United States
Yerevan,4.57 €,23.85 €,3.98 €,0.80 €,1.27 €,1.68 €,0.53 €,0.27 €,Edit,2.74 €,0.36 €,0.48 €,1.26 €,1.59 €,1.55 €,2.52 €,0.34 €,0.48 €,0.47 €,0.39 €,0.17 €,0.20 €,0.34 €,0.35 €,4.77 €,0.73 €,1.00 €,1.27 €,Edit,0.16 €,9.54 €,0.95 €,0.26 €,1.91 €,2.45 €,"18,285.61 €","18,310.34 €",Edit,58.12 €,0.03 €,13.22 €,Edit,43.54 €,9.67 €,3.98 €,Edit,116.60 €,"3,671.58 €",Edit,43.57 €,34.40 €,67.02 €,62.59 €,Edit,296.04 €,164.19 €,613.13 €,280.91 €,Edit,130.84 €,69.90 €,Edit,295.27 €,11.16,Armenia
Ranchi,2.25 €,10.67 €,3.93 €,1.35 €,4.49 €,1.36 €,0.39 €,0.16 €,Edit,1.94 €,0.31 €,0.18 €,0.81 €,2.95 €,1.16 €,2.18 €,0.76 €,0.25 €,0.37 €,0.20 €,0.12 €,0.19 €,0.49 €,0.27 €,3.37 €,1.32 €,2.04 €,3.48 €,Edit,0.17 €,4.77 €,0.56 €,0.31 €,1.24 €,3.16 €,"9,207.02 €","18,780.36 €",Edit,21.23 €,0.01 €,9.47 €,Edit,15.16 €,10.91 €,3.76 €,Edit,32.00 €,"1,137.78 €",Edit,25.82 €,45.89 €,33.68 €,29.98 €,Edit,93.57 €,65.68 €,207.72 €,142.04 €,Edit,67.49 €,40.26 €,Edit,368.03 €,9.19,India
Richmond,12.48 €,49.92 €,5.82 €,4.99 €,5.82 €,3.81 €,1.68 €,1.50 €,Edit,2.33 €,1.94 €,1.31 €,1.46 €,4.10 €,2.89 €,4.37 €,1.65 €,0.43 €,1.66 €,1.54 €,0.88 €,0.90 €,1.22 €,1.61 €,9.98 €,2.71 €,2.61 €,4.99 €,Edit,1.46 €,49.92 €,2.50 €,2.08 €,24.96 €,1.88 €,"19,089.09 €","17,363.39 €",Edit,122.81 €,0.12 €,57.36 €,Edit,28.65 €,8.60 €,9.98 €,Edit,730.93 €,"10,191.39 €",Edit,40.23 €,27.04 €,61.76 €,84.23 €,Edit,964.21 €,797.38 €,"1,674.48 €","1,448.01 €",Edit,322.25 €,106.52 €,Edit,"2,991.69 €",3.74,United States
San-Pedro-Sula,4.16 €,16.64 €,5.82 €,1.66 €,2.50 €,1.17 €,0.41 €,0.78 €,Edit,3.52 €,1.11 €,0.41 €,1.79 €,1.45 €,1.74 €,3.14 €,1.31 €,0.54 €,0.94 €,0.39 €,0.39 €,0.40 €,0.33 €,0.76 €,6.80 €,1.12 €,1.18 €,1.94 €,Edit,0.34 €,31.01 €,0.87 €,1.37 €,1.85 €,3.38 €,"18,062.33 €","18,419.84 €",Edit,149.35 €,0.14 €,59.06 €,Edit,40.42 €,20.91 €,3.40 €,Edit,190.27 €,"3,018.21 €",Edit,36.56 €,56.21 €,79.02 €,89.60 €,Edit,198.90 €,244.37 €,476.22 €,501.06 €,Edit,29.12 €,58.24 €,Edit,499.43 €,12.33,Honduras
Memphis,12.48 €,39.52 €,4.99 €,4.16 €,5.82 €,3.85 €,1.48 €,1.05 €,Edit,2.50 €,1.53 €,1.57 €,1.40 €,3.24 €,2.36 €,3.01 €,1.45 €,0.44 €,1.11 €,1.13 €,0.61 €,0.51 €,1.10 €,1.52 €,9.57 €,1.52 €,2.55 €,5.48 €,Edit,1.46 €,41.60 €,1.66 €,2.00 €,16.64 €,1.86 €,"19,297.08 €","17,305.91 €",Edit,133.12 €,0.06 €,68.14 €,Edit,23.74 €,20.80 €,9.15 €,Edit,555.24 €,"9,310.35 €",Edit,35.59 €,26.21 €,59.99 €,80.88 €,Edit,852.11 €,704.10 €,"1,265.73 €",962.46 €,Edit,84.42 €,37.37 €,Edit,"2,282.98 €",3.63,United States
Edmonton,13.54 €,54.15 €,7.09 €,4.06 €,5.08 €,3.10 €,1.51 €,1.30 €,Edit,5.76 €,1.68 €,1.21 €,2.48 €,3.30 €,3.87 €,4.77 €,1.18 €,0.57 €,1.28 €,1.17 €,1.16 €,0.88 €,1.68 €,1.71 €,10.83 €,2.40 €,2.54 €,10.15 €,Edit,2.37 €,65.99 €,2.59 €,1.80 €,20.30 €,2.58 €,"16,920.70 €","16,909.58 €",Edit,152.10 €,0.22 €,61.59 €,Edit,37.53 €,11.28 €,10.15 €,Edit,681.21 €,"6,018.35 €",Edit,44.58 €,29.44 €,73.07 €,84.97 €,Edit,777.76 €,661.85 €,"1,164.79 €","1,042.40 €",Edit,223.86 €,160.55 €,Edit,"2,765.58 €",2.93,Canada
Sendai,4.95 €,30.45 €,5.40 €,2.28 €,3.81 €,2.93 €,1.03 €,0.80 €,Edit,4.32 €,1.55 €,1.73 €,1.57 €,10.36 €,2.37 €,3.37 €,5.18 €,1.21 €,3.45 €,3.45 €,1.73 €,0.69 €,1.14 €,0.61 €,11.42 €,1.71 €,2.55 €,5.44 €,Edit,2.09 €,152.23 €,5.10 €,1.84 €,32.73 €,4.21 €,"19,143.14 €","11,417.38 €",Edit,116.85 €,0.30 €,36.35 €,Edit,65.97 €,22.07 €,12.94 €,Edit,208.05 €,"6,393.73 €",Edit,38.06 €,24.74 €,60.89 €,88.80 €,Edit,399.61 €,304.46 €,837.27 €,570.87 €,Edit,?,?,Edit,"1,953.64 €",1.40,Japan
Voronezh,7.18 €,33.15 €,3.31 €,1.66 €,3.87 €,1.34 €,0.63 €,0.36 €,Edit,2.69 €,0.38 €,0.38 €,0.88 €,2.51 €,1.39 €,2.35 €,0.42 €,0.35 €,0.51 €,0.49 €,0.16 €,0.14 €,0.41 €,0.41 €,4.42 €,0.65 €,1.18 €,1.66 €,Edit,0.25 €,11.43 €,1.10 €,0.27 €,3.31 €,1.92 €,"15,800.02 €","15,369.08 €",Edit,71.96 €,0.02 €,4.13 €,Edit,21.31 €,10.19 €,3.01 €,Edit,183.70 €,"2,254.15 €",Edit,52.11 €,32.44 €,53.49 €,64.55 €,Edit,197.75 €,120.21 €,353.42 €,229.46 €,Edit,65.43 €,45.26 €,Edit,333.12 €,10.63,Russia
Perm,4.97 €,16.57 €,2.76 €,1.66 €,3.59 €,1.20 €,0.57 €,0.31 €,Edit,2.35 €,0.27 €,0.35 €,0.88 €,2.39 €,1.23 €,2.32 €,0.52 €,0.40 €,0.52 €,0.69 €,0.17 €,0.17 €,0.61 €,0.45 €,3.87 €,0.73 €,1.04 €,1.77 €,Edit,0.29 €,15.47 €,1.10 €,0.32 €,2.65 €,1.95 €,"15,790.07 €","14,697.53 €",Edit,79.27 €,0.02 €,6.80 €,Edit,21.25 €,13.42 €,3.87 €,Edit,144.35 €,"2,276.25 €",Edit,53.33 €,26.32 €,55.78 €,73.68 €,Edit,211.31 €,139.90 €,410.71 €,245.95 €,Edit,74.88 €,49.49 €,Edit,388.51 €,9.48,Russia
Raleigh,12.48 €,49.92 €,6.66 €,4.16 €,4.99 €,3.58 €,1.46 €,1.15 €,Edit,2.44 €,1.91 €,1.81 €,1.52 €,3.50 €,3.24 €,5.14 €,2.23 €,0.54 €,2.36 €,1.49 €,0.89 €,0.85 €,1.48 €,1.52 €,10.82 €,2.28 €,2.22 €,5.28 €,Edit,1.04 €,33.28 €,2.08 €,2.08 €,22.88 €,1.92 €,"18,302.90 €","17,672.99 €",Edit,119.83 €,0.15 €,48.98 €,Edit,30.59 €,9.48 €,9.57 €,Edit,847.55 €,"9,428.77 €",Edit,38.51 €,33.88 €,63.89 €,85.51 €,Edit,"1,155.26 €",848.88 €,"1,702.85 €","1,243.26 €",Edit,287.35 €,124.29 €,Edit,"3,645.15 €",3.76,United States
Cartagena,2.67 €,17.83 €,2.90 €,0.78 €,1.67 €,0.98 €,0.63 €,0.49 €,Edit,2.41 €,0.66 €,0.35 €,1.17 €,1.50 €,1.35 €,2.16 €,0.88 €,0.27 €,0.52 €,0.39 €,0.27 €,0.34 €,0.65 €,0.74 €,6.68 €,0.70 €,1.14 €,2.01 €,Edit,0.57 €,22.28 €,1.56 €,2.56 €,4.79 €,2.09 €,"11,141.31 €","15,922.53 €",Edit,93.83 €,0.05 €,25.80 €,Edit,19.06 €,19.68 €,2.67 €,Edit,91.92 €,"4,174.28 €",Edit,38.36 €,20.42 €,50.37 €,37.55 €,Edit,467.33 €,198.07 €,740.90 €,397.04 €,Edit,200.29 €,94.63 €,Edit,341.04 €,10.16,Colombia
Chandigarh,2.25 €,9.82 €,3.26 €,2.02 €,2.92 €,1.74 €,0.36 €,0.21 €,Edit,2.31 €,0.38 €,0.40 €,0.86 €,1.92 €,1.80 €,3.29 €,0.84 €,0.34 €,0.41 €,0.21 €,0.16 €,0.19 €,0.63 €,0.38 €,13.47 €,1.56 €,2.53 €,3.59 €,Edit,0.31 €,7.72 €,0.67 €,0.33 €,1.29 €,3.14 €,"10,105.27 €","19,556.19 €",Edit,62.17 €,0.01 €,11.20 €,Edit,19.04 €,8.71 €,2.81 €,Edit,56.57 €,"1,611.56 €",Edit,29.91 €,36.34 €,51.65 €,35.71 €,Edit,151.35 €,96.66 €,365.85 €,220.35 €,Edit,145.70 €,70.58 €,Edit,433.68 €,10.28,India
Bishkek,2.94 €,16.68 €,2.47 €,0.69 €,1.18 €,1.16 €,0.34 €,0.23 €,Edit,1.59 €,0.21 €,0.35 €,1.00 €,1.67 €,1.31 €,1.80 €,0.35 €,0.46 €,0.51 €,0.39 €,0.13 €,0.12 €,0.18 €,0.31 €,2.94 €,0.70 €,1.17 €,0.88 €,Edit,0.10 €,5.40 €,0.49 €,0.19 €,1.77 €,1.64 €,"12,263.59 €","11,959.45 €",Edit,31.70 €,0.02 €,13.05 €,Edit,25.40 €,8.13 €,2.94 €,Edit,105.66 €,"7,157.47 €",Edit,18.27 €,20.00 €,39.65 €,44.15 €,Edit,195.85 €,134.66 €,353.83 €,253.36 €,Edit,57.98 €,42.67 €,Edit,172.92 €,16.14,Kyrgyzstan
Amsterdam,15.00 €,75.00 €,9.00 €,5.00 €,5.00 €,3.34 €,2.72 €,2.20 €,Edit,4.09 €,1.67 €,0.91 €,2.76 €,4.81 €,3.57 €,5.59 €,0.98 €,0.70 €,0.81 €,1.04 €,0.71 €,0.60 €,0.87 €,0.87 €,7.00 €,1.24 €,1.89 €,8.00 €,Edit,3.20 €,97.50 €,5.00 €,3.78 €,43.97 €,6.35 €,"25,505.00 €","28,122.73 €",Edit,164.11 €,0.15 €,46.34 €,Edit,43.03 €,31.02 €,12.00 €,Edit,"1,826.26 €","14,061.69 €",Edit,92.88 €,41.21 €,93.11 €,127.13 €,Edit,"1,581.11 €","1,293.24 €","2,635.00 €","2,000.00 €",Edit,695.51 €,476.95 €,Edit,"2,909.38 €",2.08,Netherlands
Ashgabat,23.70 €,71.11 €,9.48 €,2.96 €,9.48 €,4.12 €,3.50 €,0.47 €,Edit,10.09 €,0.50 €,1.88 €,3.44 €,4.73 €,4.04 €,5.10 €,0.65 €,2.15 €,4.00 €,1.18 €,0.86 €,0.70 €,1.54 €,1.00 €,9.48 €,3.38 €,5.14 €,32.00 €,Edit,0.12 €,3.56 €,1.19 €,1.14 €,7.11 €,1.35 €,"15,973.56 €","17,625.38 €",Edit,948.09 €,0.02 €,395.04 €,Edit,45.03 €,21.33 €,9.48 €,Edit,19.44 €,"16,453.33 €",Edit,158.02 €,114.56 €,292.33 €,221.22 €,Edit,402.94 €,276.53 €,837.48 €,687.37 €,Edit,140.20 €,97.87 €,Edit,447.38 €,8.00,Turkmenistan
Managua,4.24 €,24.96 €,4.62 €,0.95 €,2.08 €,1.56 €,0.69 €,0.67 €,Edit,2.79 €,1.12 €,0.53 €,2.15 €,0.75 €,2.13 €,3.08 €,1.49 €,0.47 €,0.78 €,0.59 €,0.82 €,0.42 €,0.75 €,0.62 €,6.66 €,0.92 €,1.84 €,2.79 €,Edit,0.06 €,8.32 €,1.66 €,1.98 €,5.45 €,3.21 €,"14,143.15 €","19,422.36 €",Edit,60.03 €,0.24 €,54.66 €,Edit,25.48 €,21.84 €,5.82 €,Edit,125.40 €,"2,855.56 €",Edit,41.76 €,31.78 €,71.39 €,78.39 €,Edit,196.10 €,150.79 €,428.07 €,319.55 €,Edit,74.93 €,41.15 €,Edit,298.26 €,11.41,Nicaragua
New-Orleans,15.57 €,51.58 €,6.63 €,2.91 €,4.99 €,3.72 €,1.62 €,1.20 €,Edit,3.58 €,2.54 €,1.46 €,1.75 €,4.01 €,3.11 €,3.79 €,1.60 €,0.60 €,1.24 €,1.58 €,1.22 €,0.94 €,1.50 €,1.70 €,9.98 €,2.73 €,2.91 €,6.03 €,Edit,1.04 €,45.76 €,4.16 €,2.87 €,19.13 €,1.74 €,"21,630.70 €","19,430.61 €",Edit,153.47 €,0.14 €,60.25 €,Edit,45.46 €,21.06 €,9.98 €,Edit,711.78 €,"8,874.13 €",Edit,41.89 €,33.28 €,71.55 €,85.90 €,Edit,"1,203.33 €",874.85 €,"1,892.69 €","1,307.14 €",Edit,364.52 €,139.51 €,Edit,"2,350.88 €",4.08,United States
Port-au-prince,12.48 €,58.24 €,11.23 €,1.66 €,4.16 €,3.61 €,1.70 €,1.66 €,Edit,3.90 €,0.91 €,1.19 €,4.16 €,1.12 €,4.13 €,2.64 €,0.83 €,0.83 €,?,0.83 €,?,?,?,?,?,?,?,?,Edit,?,24.47 €,0.37 €,5.36 €,3.33 €,3.24 €,"27,038.37 €","41,597.50 €",Edit,99.26 €,0.16 €,49.92 €,Edit,70.72 €,33.28 €,8.32 €,Edit,83.19 €,"1,996.68 €",Edit,41.60 €,41.60 €,124.79 €,83.19 €,Edit,"1,414.31 €",769.55 €,"1,968.95 €",887.41 €,Edit,193.23 €,123.27 €,Edit,475.18 €,15.00,Haiti
Mysore,1.35 €,6.18 €,2.81 €,1.12 €,3.09 €,1.20 €,0.27 €,0.12 €,Edit,1.63 €,0.31 €,0.27 €,0.79 €,3.69 €,0.99 €,1.41 €,0.59 €,0.27 €,0.30 €,0.13 €,0.16 €,0.18 €,0.66 €,0.34 €,7.86 €,1.49 €,2.73 €,3.93 €,Edit,0.28 €,11.23 €,0.56 €,0.22 €,0.73 €,3.44 €,"10,105.27 €","19,463.87 €",Edit,17.12 €,0.01 €,10.58 €,Edit,13.47 €,4.28 €,2.81 €,Edit,63.04 €,"1,266.28 €",Edit,25.04 €,26.52 €,40.42 €,32.00 €,Edit,98.71 €,79.53 €,250.76 €,184.83 €,Edit,87.94 €,54.87 €,Edit,320.80 €,9.40,India
Odesa,4.47 €,20.87 €,3.58 €,0.75 €,1.49 €,1.03 €,0.46 €,0.38 €,Edit,3.00 €,0.43 €,0.40 €,1.09 €,2.75 €,1.45 €,1.98 €,0.35 €,0.39 €,0.49 €,0.53 €,0.19 €,0.17 €,0.56 €,0.37 €,2.68 €,0.63 €,1.05 €,1.64 €,Edit,0.21 €,5.96 €,1.49 €,0.43 €,3.58 €,3.09 €,"18,206.49 €","17,325.53 €",Edit,82.89 €,0.04 €,5.24 €,Edit,17.83 €,6.91 €,3.88 €,Edit,211.16 €,"2,790.37 €",Edit,49.82 €,41.39 €,75.55 €,85.71 €,Edit,269.35 €,193.49 €,512.75 €,345.97 €,Edit,92.09 €,58.62 €,Edit,350.24 €,19.65,Ukraine
Kathmandu,2.10 €,13.97 €,5.24 €,2.10 €,3.04 €,1.32 €,0.39 €,0.17 €,Edit,2.36 €,0.41 €,0.26 €,1.18 €,3.10 €,1.21 €,2.22 €,0.84 €,0.39 €,0.43 €,0.23 €,0.17 €,0.22 €,0.25 €,0.24 €,5.59 €,1.98 €,2.61 €,2.10 €,Edit,0.14 €,6.98 €,2.10 €,0.87 €,3.49 €,2.85 €,"26,155.89 €","38,844.19 €",Edit,23.47 €,0.02 €,13.84 €,Edit,20.02 €,6.73 €,2.86 €,Edit,50.58 €,"1,239.91 €",Edit,18.95 €,24.32 €,42.40 €,32.46 €,Edit,131.64 €,82.39 €,271.12 €,175.74 €,Edit,95.22 €,42.74 €,Edit,194.44 €,11.48,Nepal
